,index,timePeriod,sentiment
8163,4622,1820-01-01,0.193
8165,4680,1820-01-01,0.0
8188,297,1820-01-01,0.391
8199,8365,1820-01-01,0.404
8201,5839,1820-01-01,0.21
8223,9001,1820-01-01,0.0
8227,8210,1820-01-01,0.234
8255,9769,1820-01-01,0.603
8271,7684,1820-01-01,0.0
8277,6943,1820-01-01,0.447
8288,1081,1820-01-01,0.0
8319,6584,1820-01-01,0.133
8326,1407,1820-01-01,0.212
8342,6437,1820-01-01,0.0
8343,3383,1820-01-01,0.071
8346,5769,1820-01-01,0.399
8350,6089,1820-01-01,0.289
8357,3720,1820-01-01,0.455
8363,5378,1820-01-01,0.255
8372,9402,1820-01-01,0.0
8397,3486,1820-01-01,0.273
8398,4712,1820-01-01,0.24
8403,7980,1820-01-01,0.0
8407,830,1820-01-01,0.184
8413,3178,1820-01-01,0.134
8418,8724,1820-01-01,0.278
8439,2401,1820-01-01,0.452
8442,2693,1820-01-01,0.241
8461,9614,1820-01-01,0.138
8464,8158,1820-01-01,0.434
8470,6048,1820-01-01,0.206
8479,8861,1820-01-01,0.0
8489,6688,1820-01-01,0.219
8490,1549,1820-01-01,0.0
8508,5626,1820-01-01,0.167
8526,4500,1820-01-01,0.119
8548,4756,1820-01-01,0.175
8560,2623,1820-01-01,0.249
8568,6223,1820-01-01,0.246
8619,7252,1820-01-01,0.229
8622,3998,1820-01-01,0.414
8631,6967,1820-01-01,0.1
8632,4282,1820-01-01,0.0
8638,8706,1820-01-01,0.0
8650,1130,1820-01-01,0.355
8652,4813,1820-01-01,0.108
8653,8668,1820-01-01,0.0
8657,5044,1820-01-01,0.355
8665,5786,1820-01-01,0.173
8692,8243,1820-01-01,0.149
8723,4851,1820-01-01,0.145
8733,25,1820-01-01,0.0
8738,3235,1820-01-01,0.309
8740,7361,1820-01-01,0.197
8787,9553,1820-01-01,0.227
8794,2078,1820-01-01,0.138
8797,8843,1820-01-01,0.45
8799,6689,1820-01-01,0.0
8815,8353,1820-01-01,0.203
8823,8077,1820-01-01,0.0
8832,5169,1820-01-01,0.0
8833,9002,1820-01-01,0.08
8840,2146,1820-01-01,0.179
8843,2399,1820-01-01,0.472
8847,7331,1820-01-01,0.199
8876,8983,1820-01-01,0.5
8881,1734,1820-01-01,0.385
8882,5690,1820-01-01,0.182
8893,8750,1820-01-01,0.474
8902,6837,1820-01-01,0.3
8919,3638,1820-01-01,0.0
8926,8807,1820-01-01,0.0
8928,9729,1820-01-01,0.556
8965,7037,1820-01-01,0.15
8968,3269,1820-01-01,0.206
8969,5764,1820-01-01,0.214
8985,6358,1820-01-01,0.176
9004,3776,1820-01-01,0.232
9011,4315,1820-01-01,0.212
9023,6152,1820-01-01,0.466
9025,9765,1820-01-01,0.324
9069,6513,1820-01-01,0.125
9078,1986,1820-01-01,0.257
9082,846,1820-01-01,0.0
9083,424,1820-01-01,0.35
9085,3402,1820-01-01,0.158
9094,3991,1820-01-01,0.237
9105,8542,1820-01-01,0.293
9112,7165,1820-01-01,0.0
9114,4564,1820-01-01,0.262
9116,894,1820-01-01,0.165
9123,6051,1820-01-01,0.342
9134,9739,1820-01-01,0.0
9147,3465,1820-01-01,0.178
9160,3064,1820-01-01,0.24
9170,6023,1820-01-01,0.0
9175,6680,1820-01-01,0.078
9185,8525,1820-01-01,0.0
9189,7623,1820-01-01,0.224
9194,4520,1820-01-01,0.252
9195,1769,1820-01-01,0.0
9200,9693,1820-01-01,0.081
9239,7690,1820-01-01,0.145
9253,7807,1820-01-01,0.111
9264,2751,1820-01-01,0.104
9266,5575,1820-01-01,0.548
9279,3572,1820-01-01,0.371
